r	boost_fr	poly_fr
2.29	0.128786		0.121318
2.3	0.127283		0.118901
2.31	0.1258		0.116512
2.32	0.124336		0.11415
2.33	0.12289		0.111815
2.34	0.121463		0.109507
2.35	0.120054		0.107227
2.36	0.118662		0.104973
2.37	0.117289		0.102746
2.38	0.115933		0.100546
2.39	0.114593		0.0983723
2.4	0.113271		0.0962248
2.41	0.111966		0.0941034
2.42	0.110676		0.0920081
2.43	0.109403		0.0899387
2.44	0.108146		0.0878951
2.45	0.106905		0.0858772
2.46	0.105679		0.0838849
2.47	0.104468		0.0819179
2.48	0.103273		0.0799763
2.49	0.102092		0.0780599
2.5	0.100926		0.0761687
2.51	0.0997745		0.0743024
2.52	0.0986372		0.072461
2.53	0.0975138		0.0706444
2.54	0.0964044		0.0688525
2.55	0.0953086		0.0670852
2.56	0.0942262		0.0653424
2.57	0.0931572		0.063624
2.58	0.0921012		0.06193
2.59	0.0910582		0.0602601
2.6	0.0900279		0.0586145
2.61	0.0890102		0.0569929
2.62	0.0880049		0.0553952
2.63	0.0870119		0.0538215
2.64	0.0860309		0.0522716
2.65	0.0850618		0.0507455
2.66	0.0841045		0.049243
2.67	0.0831588		0.0477642
2.68	0.0822245		0.0463088
2.69	0.0813015		0.044877
2.7	0.0803896		0.0434685
2.71	0.0794887		0.0420834
2.72	0.0785987		0.0407216
2.73	0.0777193		0.0393829
2.74	0.0768505		0.0380675
2.75	0.0759921		0.0367751
2.76	0.075144		0.0355057
2.77	0.074306		0.0342593
2.78	0.0734781		0.0330359
2.79	0.07266		0.0318353
2.8	0.0718516		0.0306576
2.81	0.0710529		0.0295026
2.82	0.0702637		0.0283703
2.83	0.0694838		0.0272608
2.84	0.0687132		0.0261738
2.85	0.0679517		0.0251095
2.86	0.0671992		0.0240677
2.87	0.0664556		0.0230484
2.88	0.0657208		0.0220515
2.89	0.0649946		0.0210771
2.9	0.064277		0.0201251
2.91	0.0635678		0.0191954
2.92	0.062867		0.0182881
2.93	0.0621744		0.017403
2.94	0.0614899		0.0165402
2.95	0.0608134		0.0156996
2.96	0.0601449		0.0148811
2.97	0.0594841		0.0140849
2.98	0.0588311		0.0133107
2.99	0.0581857		0.0125587
3	0.0575478		0.0118287
3.01	0.0569173		0.0111208
3.02	0.0562942		0.0104349
3.03	0.0556783		0.00977096
3.04	0.0550696		0.00912902
3.05	0.0544679		0.00850904
3.06	0.0538731		0.00791099
3.07	0.0532853		0.00733485
3.08	0.0527042		0.0067806
3.09	0.0521299		0.00624823
3.1	0.0515621		0.00573772
3.11	0.051001		0.00524904
3.12	0.0504462		0.00478219
3.13	0.0498979		0.00433714
3.14	0.0493559		0.0039139
3.15	0.0488201		0.00351243
3.16	0.0482904		0.00313273
